area,rooms,price
1980,3,245600
2750,4,360700
956,1,92300
2275,4,320800
1619,3,243700
1766,4,245700
1221,3,128700
1616,3,204800
2515,3,352800
2120,3,221100
2753,5,360200
2448,4,300300
2041,3,291200
2759,5,353600
2041,3,282400
2255,3,309500
1637,3,269500
1837,3,246600
1416,3,213000
2344,4,282200
1152,1,185900
2230,3,277600
1695,4,231100
2444,3,317400
2213,2,250000
2801,3,362100
2202,4,320500
935,2,150300
1763,3,208000
1155,3,173300
1515,1,216000
2631,5,313100
2151,5,278000
1416,2,216000
1242,2,183600
1818,3,258000
1131,1,198300
1431,2,208700
1972,4,288400
2435,5,392500
2135,3,279100
540,2,82800
1967,3,274800
1840,4,269100
2028,3,260500
2689,5,338100
665,1,157000
1475,5,234400
2125,4,274600
930,1,155500
2612,5,349900
2003,3,263800
2266,3,310600
1486,3,184000
2248,4,312000
2388,4,361800
1928,3,271300
1929,3,252900
1949,4,260200
1325,1,169700
1719,3,232500
1716,2,221400
2011,2,282400
2350,4,277400
1218,2,193900
1731,2,223100
2615,5,360900
1391,1,161200
1348,2,218500
1911,3,286600
2264,4,327200
1806,3,214300
2531,4,353700
2271,4,315700
2263,4,270600
2105,2,272000
3080,4,403800
1687,3,246800
698,1,113700
2682,4,358400
1548,3,251700
1859,3,280500
2520,5,279100
919,1,127100
1112,1,151700
919,1,95500
1363,2,193000
2042,4,309100
2088,3,254800
1952,2,263100
1023,1,125400
529,1,76400
1830,3,282800
1541,2,198600
2053,3,285000
2186,3,248300
1876,4,304300
2218,3,306200
1926,3,256800
2092,4,299800
1412,1,157300
1701,3,262100
1908,3,251800
2251,4,300100
1583,4,220300
2087,3,265800
1654,4,254200
1735,3,245500
2256,3,311500
704,1,110200
1087,1,163900
985,1,132100
517,1,138900
1427,3,171500
2212,3,320100
1643,3,259800
1909,4,248200
2399,5,377900
2530,5,365200
1762,4,272200
2544,3,329500
1851,3,247800
1339,2,183700
1473,3,219600
986,1,172300
1312,2,189300
1603,4,213300
2242,4,321800
2746,5,387300
1040,2,169800
2016,3,287200
1228,2,170100
2061,4,263300
1728,4,228000
793,2,92200
2311,4,316400
1467,3,208500
1506,2,197000
1212,2,109300
1440,3,180000
2035,4,305500
1696,3,220900
1981,4,282800
1999,4,246300
2526,5,374500
1611,3,223000
988,1,148100
2387,4,370700
1618,1,244300
2413,4,315700
2011,1,241200
1728,2,223900
1992,4,287300
2873,5,378700
2942,4,371900
1838,3,283500
1888,4,262200
2392,4,370700
1335,4,205800
1983,3,306400
1786,3,253300
1973,4,295200
1342,2,172700
926,1,116100
660,1,115700
1185,2,193100
1548,2,212200
1639,3,201000
2865,4,342200
2408,5,298500
1271,2,141900
1991,3,270400
1576,3,247100
1644,3,229500
1902,4,216500
2141,3,280300
1613,2,214800
2385,5,373500
1172,2,137900
1803,2,230700
3229,6,465700
1923,4,278400
2588,3,346100
1850,3,255000
2119,4,297300
1769,3,260700
1706,3,218900
1371,1,203100
2037,4,250900
1332,2,194700
2166,3,291200
2397,5,315100
2002,4,276700
1643,4,224000
2050,4,258900
1630,3,220500
2315,4,287400
793,2,135300
1615,3,201300
705,1,126200
978,2,122600
